"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad","unidad"
"2026-02-02T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.008","KILOGRAMO"
"2026-02-02T00:00:00.000","25","CUNDINAMARCA","25035","ANAPOIMA","0.00030","KILOGRAMO"
"2026-02-02T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.011","KILOGRAMO"
"2026-02-02T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.0059","KILOGRAMO"
"2026-01-31T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.016","KILOGRAMO"
"2026-01-31T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.005","KILOGRAMO"
"2026-01-30T00:00:00.000","52","NARIÑO","52678","SAMANIEGO","0.008","KILOGRAMO"
"2026-01-30T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.02","KILOGRAMO"
"2026-01-30T00:00:00.000","52","NARIÑO","52835","SAN ANDRES DE TUMACO","0.002","KILOGRAMO"
"2026-01-29T00:00:00.000","05","ANTIOQUIA","05266","ENVIGADO","0.02","KILOGRAMO"
"2026-01-29T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.0033","KILOGRAMO"
"2026-01-29T00:00:00.000","86","PUTUMAYO","86219","COLON","0.01","KILOGRAMO"
"2026-01-29T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.027","KILOGRAMO"
"2026-01-28T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.01","KILOGRAMO"
"2026-01-28T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.003","KILOGRAMO"
"2026-01-28T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.04","KILOGRAMO"
"2026-01-27T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.003","KILOGRAMO"
"2026-01-26T00:00:00.000","52","NARIÑO","52356","IPIALES","2.49","KILOGRAMO"
"2026-01-26T00:00:00.000","52","NARIÑO","52019","ALBAN","0.004","KILOGRAMO"
"2026-01-25T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.0013","KILOGRAMO"
"2026-01-25T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.01","KILOGRAMO"
"2026-01-25T00:00:00.000","54","NORTE DE SANTANDER","54874","VILLA DEL ROSARIO","0.015","KILOGRAMO"
"2026-01-25T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0022","KILOGRAMO"
"2026-01-24T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.002","KILOGRAMO"
"2026-01-24T00:00:00.000","50","META","50006","ACACIAS","0.053","KILOGRAMO"
"2026-01-22T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.002","KILOGRAMO"
"2026-01-21T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.015","KILOGRAMO"
"2026-01-20T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.135","KILOGRAMO"
"2026-01-20T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.008","KILOGRAMO"
"2026-01-20T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.0022","KILOGRAMO"
"2026-01-19T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.002","KILOGRAMO"
"2026-01-19T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.00070","KILOGRAMO"
"2026-01-10T00:00:00.000","52","NARIÑO","52687","SAN LORENZO","0.006","KILOGRAMO"
"2026-01-10T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.004","KILOGRAMO"
"2026-01-06T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.004","KILOGRAMO"
"2026-01-05T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.1","KILOGRAMO"
"2025-12-26T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.15","KILOGRAMO"
"2025-12-22T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0051","KILOGRAMO"
"2025-12-11T00:00:00.000","52","NARIÑO","52001","PASTO","7.8","KILOGRAMO"
"2025-12-11T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0126","KILOGRAMO"
"2025-12-10T00:00:00.000","52","NARIÑO","52110","BUESACO","7.8","KILOGRAMO"
"2025-12-10T00:00:00.000","52","NARIÑO","52585","PUPIALES","0.005","KILOGRAMO"
"2025-12-07T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.001","KILOGRAMO"
"2025-12-05T00:00:00.000","52","NARIÑO","52203","COLON","0.001","KILOGRAMO"
"2025-12-02T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0212","KILOGRAMO"
"2025-12-01T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0116","KILOGRAMO"
"2025-11-29T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.07","KILOGRAMO"
"2025-11-29T00:00:00.000","52","NARIÑO","52083","BELEN","0.002","KILOGRAMO"
"2025-11-26T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.00026","KILOGRAMO"
"2025-11-24T00:00:00.000","63","QUINDIO","63130","CALARCA","0.0274","KILOGRAMO"
"2025-11-21T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0028","KILOGRAMO"
"2025-11-21T00:00:00.000","08","ATLANTICO","08001","BARRANQUILLA","0.18","KILOGRAMO"
"2025-11-19T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.009","KILOGRAMO"
"2025-11-13T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.002","KILOGRAMO"
"2025-11-12T00:00:00.000","05","ANTIOQUIA","05266","ENVIGADO","0.0014","KILOGRAMO"
"2025-11-11T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.013","KILOGRAMO"
"2025-11-07T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.012","KILOGRAMO"
"2025-11-06T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.023","KILOGRAMO"
"2025-11-06T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.02","KILOGRAMO"
